=== DETALHAMENTO POR BRANCH (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 17:21:19
""
Projeto,Grupo,Branch,Usuários,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA
rnd_crd_pf_ger_ger_sicredi,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,master,1,1,0,0.0,1,100.0
split-invoice-de-para,julierme.peixoto,main,1,2,0,0.0,2,100.0
define-positivo-front,gabriel.furtado,development,3,10,0,0.0,10,100.0
utils,konduto/dependencies,main,2,10,0,0.0,10,100.0
utils,konduto/dependencies,master,1,2,0,0.0,2,100.0
api-comunica,recuperacao/negativacao-estrategica,development,1,1,0,0.0,1,100.0
api-comunica,recuperacao/negativacao-estrategica,homolog,1,1,0,0.0,1,100.0
api-comunica,recuperacao/negativacao-estrategica,main,1,1,0,0.0,1,100.0
grpc-stubs,konduto/dependencies,main,2,10,0,0.0,10,100.0
grpc-stubs,konduto/dependencies,master,1,2,0,0.0,2,100.0
kondutosql,konduto/dependencies,main,2,10,0,0.0,10,100.0
kondutosql,konduto/dependencies,master,1,2,0,0.0,2,100.0
upload-temp,report-platform/customer-management,main,1,1,0,0.0,1,100.0
upload-temp,report-platform/customer-management,master,1,10,0,0.0,10,100.0
scr_rec_pf_ger_30a60_bvs,analytics/plataforma-analytics/modelos-cea/mercado/recuperacao_collection/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_rec_pf_ger_30a60_bvs,analytics/plataforma-analytics/modelos-cea/mercado/recuperacao_collection/2025/pf,master,1,1,0,0.0,1,100.0
Litmus-Go-Helper,tech/site-reliability-engineering/devops-tools,development,1,10,0,0.0,10,100.0
Litmus-Go-Helper,tech/site-reliability-engineering/devops-tools,homolog,2,8,0,0.0,8,100.0
Litmus-Go-Helper,tech/site-reliability-engineering/devops-tools,main,2,8,0,0.0,8,100.0
scr_rec_pf_ger_1a30_bvs,analytics/plataforma-analytics/modelos-cea/mercado/recuperacao_collection/2025/pf,homolog,1,1,0,0.0,1,100.0
scr_rec_pf_ger_1a30_bvs,analytics/plataforma-analytics/modelos-cea/mercado/recuperacao_collection/2025/pf,master,1,1,0,0.0,1,100.0
api-ems,tech/site-reliability-engineering/backoffice/onboarding,main,1,10,0,0.0,10,100.0
ms-sender-control,tr_jbenvenuto,main,2,10,0,0.0,10,100.0
study_p7pj,analytics/plataforma-analytics/modelos-cea/study,homolog,1,1,0,0.0,1,100.0
study_p7pj,analytics/plataforma-analytics/modelos-cea/study,master,1,1,0,0.0,1,100.0
ms-notify-job,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,main,3,10,0,0.0,10,100.0
ms-reproc-job,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,main,3,10,0,0.0,10,100.0
scripts,alex.delfino,main,2,2,0,0.0,2,100.0
Job Recriptografia,marketing-services/bluebox/jobs,development,3,4,0,0.0,4,100.0
Job Recriptografia,marketing-services/bluebox/jobs,homolog,3,4,0,0.0,4,100.0
Job Recriptografia,marketing-services/bluebox/jobs,main,1,1,0,0.0,1,100.0
ms-persist-job,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,main,2,10,0,0.0,10,100.0
ms-as400-gw,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,main,2,10,0,0.0,10,100.0
ms-query-api,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,main,2,10,0,0.0,10,100.0
