Project Name,Total Commits,AI Copilot Commits,AI Copilot %,AI Manual Commits,AI Manual %,No AI Commits,No AI %
scr_crd_pf_ger_varejo_santander,8,0,0.0,0,0.0,8,100.0
scr_crd_pf_ger_ger_vivo,1,0,0.0,0,0.0,1,100.0
calc-vps-geo,100,0,0.0,0,0.0,100,100.0
photon-efx-template,5,0,0.0,0,0.0,5,100.0
ms-scpc-auth,28,0,0.0,0,0.0,28,100.0
scr_aff_pf_ger_ger_bvs,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ccr_ger_carrefour,7,0,0.0,0,0.0,7,100.0
jira-cronjob-data2-us,1,0,0.0,0,0.0,1,100.0
gitlab-report,11,0,0.0,0,0.0,11,100.0
scr_prp_pf_dem_ger_bvs,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ger_ger_santandervarejo,1,0,0.0,0,0.0,1,100.0
scr_prp_pf_ger_ger_bvs,1,0,0.0,0,0.0,1,100.0
inferencia_negados_pelo_positivo,2,0,0.0,0,0.0,2,100.0
photon-archive-template,12,0,0.0,0,0.0,12,100.0
IAM,100,0,0.0,0,0.0,100,100.0
api-edh,3,0,0.0,0,0.0,3,100.0
test_cosmodemo03,1,0,0.0,0,0.0,1,100.0
test_testemodelagem,1,0,0.0,0,0.0,1,100.0
scpc-portfolio,56,0,0.0,0,0.0,56,100.0
test_cosmodemo02,1,0,0.0,0,0.0,1,100.0
post-mortem-ai-backend,7,0,0.0,0,0.0,7,100.0
relatorio-credito-pf-telco-frontend,6,0,0.0,0,0.0,6,100.0
test_cosmodemo01,1,0,0.0,0,0.0,1,100.0
relatorio-credito-pf-telco-api,24,0,0.0,0,0.0,24,100.0
post-mortem-ai-tech-sp,1,0,0.0,0,0.0,1,100.0
report-platform-auth-server-produtos-sp,1,0,0.0,0,0.0,1,100.0
FRONT - IC BOX IF,55,0,0.0,0,0.0,55,100.0
BFF - IC BOX,20,0,0.0,0,0.0,20,100.0
relatorio-credito-pf-telco-frontend,30,0,0.0,0,0.0,30,100.0
relatorio-credito-pf-telco-frontend,1,0,0.0,0,0.0,1,100.0
post-mortem-ai-backend,1,0,0.0,0,0.0,1,100.0
relatorio-credito-pf-telco-api,47,0,0.0,0,0.0,47,100.0
test_csmdemo06,1,0,0.0,0,0.0,1,100.0
ms-query-api,24,0,0.0,0,0.0,24,100.0
aeb-fms-jira,3,0,0.0,0,0.0,3,100.0
aeb-fms-jira,4,0,0.0,0,0.0,4,100.0
ms-as400-gw,15,0,0.0,0,0.0,15,100.0
Export Project-deleted-10041,1,0,0.0,0,0.0,1,100.0
scr_crd_pf_ger_tstaud_v1,1,0,0.0,0,0.0,1,100.0
core-services,100,0,0.0,0,0.0,100,100.0
scr_crd_pf_sta_deploy_v15,1,0,0.0,0,0.0,1,100.0
Roberto Queiroz Legacy,1,0,0.0,0,0.0,1,100.0
study_monitoramento,1,0,0.0,0,0.0,1,100.0
ms-persist-job,8,0,0.0,0,0.0,8,100.0
FRONT - IC Flex Varejo,1,0,0.0,0,0.0,1,100.0
BFF - IC Flex Varejo,1,0,0.0,0,0.0,1,100.0
scr_rec_pf_ger_ger_181360,1,0,0.0,0,0.0,1,100.0
IC,1,0,0.0,0,0.0,1,100.0
scr_rec_pf_ger_91a180_bvs,1,0,0.0,0,0.0,1,100.0
DELETAR - IC Flex IF-deleted-10029,1,0,0.0,0,0.0,1,100.0
scr_rec_pf_ger_6190_bvs,1,0,0.0,0,0.0,1,100.0
Teste,1,0,0.0,0,0.0,1,100.0
DELETAR - IC Flex Varejo-deleted-10025,2,0,0.0,0,0.0,2,100.0
scr_rec_pf_ger_30a60_bvs,1,0,0.0,0,0.0,1,100.0
scr_rec_pf_ger_1a30_bvs,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_v05,1,0,0.0,0,0.0,1,100.0
tubolayer,1,0,0.0,0,0.0,1,100.0
tubolayer,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_v04,16,0,0.0,0,0.0,16,100.0
scr_crd_pj_sta_deploy_v03,17,0,0.0,0,0.0,17,100.0
scr_crd_pj_sta_deploy_v02,13,0,0.0,0,0.0,13,100.0
scr_crd_pf_ger_dig_casasbahia,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_v01,24,0,0.0,0,0.0,24,100.0
terraform2.0,100,0,0.0,0,0.0,100,100.0
scr_crd_pj_sta_deploy_fv02,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_fv01,1,0,0.0,0,0.0,1,100.0
report-platform-titulos-protestados,46,0,0.0,0,0.0,46,100.0
scpc-api-cli,15,0,0.0,0,0.0,15,100.0
relatorio-credito-pj-front,50,0,0.0,0,0.0,50,100.0
study_carrefour,1,0,0.0,0,0.0,1,100.0
relatorio-credito-pj-bff,59,0,0.0,0,0.0,59,100.0
scr_crd_pf_vei_ger_p7featvei2,7,0,0.0,0,0.0,7,100.0
scr_fpd_pf_ger_ger_p7featfpd,12,0,0.0,0,0.0,12,100.0
dag-bkt-features-family-spark,1,0,0.0,0,0.0,1,100.0
dynatrace-extractor,3,0,0.0,0,0.0,3,100.0
dynatrace-extractor,14,0,0.0,0,0.0,14,100.0
scr_crd_pf_ger_ger_itau6models,1,0,0.0,0,0.0,1,100.0
mascote-ai-frontend,56,0,0.0,0,0.0,56,100.0
account-service,19,0,0.0,0,0.0,19,100.0
dynatrace-extractor,45,0,0.0,0,0.0,45,100.0
default_rpfccsc,13,0,0.0,0,0.0,13,100.0
test_financial,1,0,0.0,0,0.0,1,100.0
ic-flex-if-bff,45,0,0.0,0,0.0,45,100.0
scr_crd_pj_sta_deploy_v15,1,0,0.0,0,0.0,1,100.0
scr_crd_pj_sta_deploy_v14,1,0,0.0,0,0.0,1,100.0
test-git,4,0,0.0,0,0.0,4,100.0
scr_crd_pj_sta_deploy_v13,1,0,0.0,0,0.0,1,100.0
mascote-ai-tech-sp,11,0,0.0,0,0.0,11,100.0
mascote-ai-backend,84,0,0.0,0,0.0,84,100.0
Processamento iRoi,4,0,0.0,0,0.0,4,100.0
forge-rq-backtest,5,0,0.0,0,0.0,5,100.0
dynatrace-extractor,4,0,0.0,0,0.0,4,100.0
Processo Iroi ,1,0,0.0,0,0.0,1,100.0
csti,10,0,0.0,0,0.0,10,100.0
