=== RELATÓRIO DE ADOÇÃO DE INTELIGÊNCIA ARTIFICIAL (Últimos 10 Commits) ===
Data de Geração: 02/10/2025 19:37:00
""
RESUMO POR PROJETO
Projeto,Grupo,Usuários Commits,Total Commits,Commits com IA,% IA,Commits sem IA,% sem IA,% do Total Geral
ms-persist-job,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,2,10,0,0.0,10,100.0,0.022
ms-as400-gw,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,2,10,0,0.0,10,100.0,0.022
ms-query-api,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,2,10,0,0.0,10,100.0,0.022
ms-neg-api,tech/site-reliability-engineering/recuperacao/negativacao-estrategica/transformation,2,10,0,0.0,10,100.0,0.022
scr_crd_pj_ger_ger_p7,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_sta_deploy_v14,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,2,11,0,0.0,11,100.0,0.0242
ms-notify-job,recuperacao/negativacao-estrategica/transformation,3,10,0,0.0,10,100.0,0.022
ms-reproc-job,recuperacao/negativacao-estrategica/transformation,1,10,0,0.0,10,100.0,0.022
ms-as400-gw,recuperacao/negativacao-estrategica/transformation,3,10,0,0.0,10,100.0,0.022
ms-persist-job,recuperacao/negativacao-estrategica/transformation,3,10,0,0.0,10,100.0,0.022
ms-query-api,recuperacao/negativacao-estrategica/transformation,4,12,0,0.0,12,100.0,0.0264
notebooks_auxiliares_amostragem,modelos-de-mercado,1,5,0,0.0,5,100.0,0.011
ms-neg-api,recuperacao/negativacao-estrategica/transformation,3,12,0,0.0,12,100.0,0.0264
credit-analyst,tech/site-reliability-engineering/credit-services/relatorio-credito-pf/agente-ai,2,10,0,0.0,10,100.0,0.022
scr_crd_pf_ccr_ger_neon,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
api-acceptance,tech/site-reliability-engineering/backoffice/onboarding,2,10,0,0.0,10,100.0,0.022
scr_crd_pf_ccr_banc_specialpresentationv1,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_vei_ger_vw,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_ccr_cea_cea,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_ger_ger_willep,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,11,0,0.0,11,100.0,0.0242
ppe-df-export-data,data/dados-restritivos/ppe,2,3,0,0.0,3,100.0,0.0066
scr_crd_pf_vei_ger_safravdeploy,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,2,11,0,0.0,11,100.0,0.0242
scr_crd_pf_ger_ger_bradescard,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
credit-analyst,credit-services/relatorio-credito-pf/agente-ai,3,11,0,0.0,11,100.0,0.0242
relatorio-credito-pf-core-lib,credit-services/relatorio-credito-pf,4,16,0,0.0,16,100.0,0.0352
scr_crd_pj_ccr_ger_bvs,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,1,1,0,0.0,1,100.0,0.0022
report-platform-apoio-cadastral,tech/site-reliability-engineering/report-platform/data-services-support,2,10,0,0.0,10,100.0,0.022
faturamento_pj_notebooks,modelos-de-mercado,1,2,0,0.0,2,100.0,0.0044
report-platform-apoio-cadastral,report-platform/data-services-support,3,10,0,0.0,10,100.0,0.022
report-platform-qa-concessao-if,report-platform/qa-concessao-if,1,1,0,0.0,1,100.0,0.0022
api-edh,backoffice/onboarding,3,11,0,0.0,11,100.0,0.0242
relatorio-credito-pf-telco-api,credit-services/relatorio-credito-telco,5,9,0,0.0,9,100.0,0.0198
api-ems,backoffice/onboarding,4,10,0,0.0,10,100.0,0.022
collections,report-platform,2,10,0,0.0,10,100.0,0.022
scr_crd_pj_sta_deploy_v09,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,2,11,0,0.0,11,100.0,0.0242
scr_crd_pf_ger_ger_p7featover,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,2,11,0,0.0,11,100.0,0.0242
interconnect-produtos,argocd,1,1,0,0.0,1,100.0,0.0022
pipeline-ingestion-as400-contributor,tech/bigdata/data-engineering/d2c,2,11,0,0.0,11,100.0,0.0242
test_projetoteste,analytics/plataforma-analytics/modelos-indicador/test,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_ger_ger_lebes,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,1,1,0,0.0,1,100.0,0.0022
test_0projetoteste,analytics/plataforma-analytics/modelos-indicador/test,1,1,0,0.0,1,100.0,0.0022
scr_crd_pf_ger_ger_claro,analytics/plataforma-analytics/modelos-cea/customizado/credito/2025/pf,3,8,0,0.0,8,100.0,0.0176
pwl-change-version,marketing-services/bluebox,1,1,0,0.0,1,100.0,0.0022
study_nucleafat,analytics/plataforma-analytics/modelos-cea/study,1,1,0,0.0,1,100.0,0.0022
scr_prp_pj_ger_ger_bvs,analytics/plataforma-analytics/modelos-cea/mercado/propensao/2025/pj,1,1,0,0.0,1,100.0,0.0022
report-platform-auth-server-produtos,argocd,3,4,0,0.0,4,100.0,0.0088
default_magalu1,analytics/plataforma-analytics/modelos-indicador/default,1,1,0,0.0,1,100.0,0.0022
report-platform-core-application-produtos,argocd,2,2,0,0.0,2,100.0,0.0044
default_indi,analytics/plataforma-analytics/modelos-indicador/default,3,12,0,0.0,12,100.0,0.0264
report-platform-product-config-produtos,argocd,2,3,0,0.0,3,100.0,0.0066
report-platform-data-services-produtos,argocd,2,3,0,0.0,3,100.0,0.0066
report-platform-data-services-support-produtos,argocd,1,1,0,0.0,1,100.0,0.0022
gfs-produtos,argocd,2,2,0,0.0,2,100.0,0.0044
cypress-data2-us,argocd,1,2,0,0.0,2,100.0,0.0044
scr_crd_pj_sta_deploy_v08,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,2,11,0,0.0,11,100.0,0.0242
account-service,tech/site-reliability-engineering/jornada-do-cliente/customer-portal,2,7,0,0.0,7,100.0,0.0154
default_rpfccscv4,analytics/plataforma-analytics/modelos-indicador/default,3,8,0,0.0,8,100.0,0.0176
scr_crd_pj_sta_deploy_v07,analytics/plataforma-analytics/modelos-cea/mercado/credito/2025/pj,3,7,0,0.0,7,100.0,0.0154
default_icvarejolimit,analytics/plataforma-analytics/modelos-indicador/default,3,8,0,0.0,8,100.0,0.0176
Inquiries,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
Boards of Trade,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
Commercial Header,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
Bad Checks,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
Trades,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
Lawsuits,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
Consumer Header,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
teste-sre1-tech,argocd,1,1,0,0.0,1,100.0,0.0022
teste-sre-tech,argocd,2,6,0,0.0,6,100.0,0.0132
Notaries,tech/bigdata/data-analytics,1,1,0,0.0,1,100.0,0.0022
teste-sre2-tech,argocd,2,7,0,0.0,7,100.0,0.0154
relatorio-credito-pj-bff,tech/site-reliability-engineering/credit-services/relatorio-credito-pj,2,10,0,0.0,10,100.0,0.022
